Synthax error at line 10, invalid token ';' read.
Synthax error at line 11, invalid token '}' read.
Synthax error at line 12, invalid token 'method' read.
Synthax error at line 12, invalid token 'int' read.
Synthax error at line 12, invalid token 'metodo1' read.
Synthax error at line 12, invalid token '(' read.
Synthax error at line 12, invalid token ')' read.
Synthax error at line 12, invalid token '{' read.
Synthax error at line 13, invalid token 'return' read.
Synthax error at line 13, invalid token 'a' read.
Synthax error at line 13, invalid token ';' read.
Synthax error at line 14, invalid token '}' read.
Synthax error at line 15, invalid token 'method' read.
Synthax error at line 15, invalid token 'void' read.
Synthax error at line 15, invalid token 'method2' read.
Synthax error at line 15, invalid token '(' read.
Synthax error at line 15, invalid token ')' read.
Synthax error at line 15, invalid token '{' read.
Synthax error at line 16, invalid token 'f' read.
Synthax error at line 16, invalid token '=' read.
Synthax error at line 16, invalid token 'b' read.
Synthax error at line 16, invalid token '+' read.
Synthax error at line 16, invalid token 'e' read.
Synthax error at line 16, invalid token ';' read.
Synthax error at line 17, invalid token '}' read.
Synthax error at line 18, invalid token 'method' read.
Synthax error at line 18, invalid token 'float' read.
Synthax error at line 18, invalid token 'method3' read.
Synthax error at line 18, invalid token '(' read.
Synthax error at line 18, invalid token ')' read.
Synthax error at line 18, invalid token '{' read.
Synthax error at line 19, invalid token 'return' read.
Synthax error at line 19, invalid token 'd' read.
Synthax error at line 19, invalid token ';' read.
Synthax error at line 20, invalid token '}' read.
Synthax error at line 21, invalid token 'method' read.
Synthax error at line 21, invalid token 'void' read.
Synthax error at line 21, invalid token 'method4' read.
Synthax error at line 21, invalid token '(' read.
Synthax error at line 21, invalid token ')' read.
Synthax error at line 21, invalid token '{' read.
Synthax error at line 22, invalid token 'if' read.
Synthax error at line 22, invalid token '(' read.
Synthax error at line 22, invalid token 'b' read.
Synthax error at line 22, invalid token '==' read.
Synthax error at line 22, invalid token '5' read.
Synthax error at line 22, invalid token ')' read.
Synthax error at line 22, invalid token 'then' read.
Synthax error at line 22, invalid token '{' read.
Synthax error at line 23, invalid token 'b' read.
Synthax error at line 23, invalid token '++' read.
Synthax error at line 23, invalid token ';' read.
Synthax error at line 24, invalid token '}' read.
Synthax error at line 24, invalid token 'else' read.
Synthax error at line 24, invalid token '{' read.
Synthax error at line 25, invalid token 'a' read.
Synthax error at line 25, invalid token '++' read.
Synthax error at line 25, invalid token ';' read.
Synthax error at line 26, invalid token '}' read.
Synthax error at line 27, invalid token '}' read.
Synthax error at line 30, invalid token '}' read.
